É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/08/01 13:00:25

,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,
2024/1/1,-3.7,-7.6
2024/1/2,3.5,-7.3
2024/1/3,1.4,-1.9
2024/1/4,2.6,-4.6
2024/1/5,5.4,-3.2
2024/1/6,4.2,-2.0
2024/1/7,0.3,-2.0
2024/1/8,-1.5,-7.0
2024/1/9,0.3,-6.2
2024/1/10,-3.0,-6.8
2024/1/11,1.9,-8.7
2024/1/12,2.8,-3.0
2024/1/13,-1.4,-4.3
2024/1/14,1.4,-6.6
2024/1/15,-0.9,-7.7
2024/1/16,-2.3,-8.0
2024/1/17,2.9,-5.7
2024/1/18,2.9,-4.1
2024/1/19,-0.3,-6.7
2024/1/20,-2.6,-9.3
2024/1/21,-4.8,-10.6
2024/1/22,1.0,-5.6
2024/1/23,4.2,-1.5
2024/1/24,0.1,-5.0
2024/1/25,1.2,-2.8
2024/1/26,2.1,-0.8
2024/1/27,2.9,-1.2
2024/1/28,4.0,-1.7
2024/1/29,3.1,-1.3
2024/1/30,3.0,-4.1
2024/1/31,2.1,-5.9
2024/2/1,0.5,-7.1
2024/2/2,-2.8,-7.5
2024/2/3,-1.8,-9.0
2024/2/4,1.5,-4.5
2024/2/5,-1.9,-7.6
2024/2/6,-2.7,-7.0
2024/2/7,1.2,-7.0
2024/2/8,1.5,-5.5
2024/2/9,0.8,-3.5
2024/2/10,1.6,-4.1
2024/2/11,0.1,-4.8
2024/2/12,3.4,-4.7
2024/2/13,10.1,-1.9
2024/2/14,10.8,1.2
2024/2/15,3.5,-1.9
2024/2/16,0.1,-5.6
2024/2/17,2.7,-6.8
2024/2/18,6.2,-1.3
2024/2/19,13.9,2.8
2024/2/20,6.4,-4.6
2024/2/21,-1.6,-5.1
2024/2/22,-3.0,-6.6
2024/2/23,-3.8,-7.8
2024/2/24,-2.8,-7.6
2024/2/25,-0.8,-6.4
2024/2/26,-1.3,-4.5
2024/2/27,1.9,-4.0
2024/2/28,-1.6,-7.7
2024/2/29,0.7,-7.3
2024/3/1,2.2,-3.7
2024/3/2,-0.5,-7.4
2024/3/3,-0.1,-8.0
2024/3/4,-0.6,-6.7
2024/3/5,1.0,-6.0
2024/3/6,1.9,-8.3
2024/3/7,0.1,-5.3
2024/3/8,1.3,-7.3
2024/3/9,2.1,-7.5
2024/3/10,0.7,-4.1
2024/3/11,6.6,-3.2
2024/3/12,5.0,0.1
2024/3/13,1.0,-2.1
2024/3/14,4.9,-3.9
2024/3/15,5.2,-1.1
2024/3/16,6.2,-0.1
2024/3/17,5.3,0.0
2024/3/18,2.7,-0.3
2024/3/19,2.3,-3.1
2024/3/20,2.4,-4.9
2024/3/21,2.2,-2.4
2024/3/22,4.9,-2.5
2024/3/23,6.5,-2.4
2024/3/24,10.7,-1.7
2024/3/25,6.0,0.2
2024/3/26,6.3,-2.0
2024/3/27,5.6,-0.3
2024/3/28,8.9,-2.3
2024/3/29,11.8,5.7
2024/3/30,10.7,4.5
2024/3/31,7.8,1.6
2024/4/1,9.0,2.4
2024/4/2,8.3,1.0
2024/4/3,10.6,0.5
2024/4/4,10.2,3.8
2024/4/5,11.9,1.7
2024/4/6,14.9,4.5
2024/4/7,19.7,8.0
2024/4/8,22.0,7.5
2024/4/9,9.8,2.8
2024/4/10,12.6,2.7
2024/4/11,16.6,2.8
2024/4/12,18.1,9.3
2024/4/13,22.3,7.4
2024/4/14,23.0,7.9
2024/4/15,26.1,8.9
2024/4/16,20.5,12.1
2024/4/17,19.4,12.3
2024/4/18,12.7,10.3
2024/4/19,10.8,6.1
2024/4/20,8.4,5.6
2024/4/21,11.1,5.3
2024/4/22,11.0,5.7
2024/4/23,16.5,5.1
2024/4/24,14.0,7.0
2024/4/25,13.6,9.1
2024/4/26,24.0,8.5
2024/4/27,27.9,11.4
2024/4/28,15.6,9.4
2024/4/29,14.6,8.6
2024/4/30,16.1,6.9
2024/5/1,14.7,6.3
2024/5/2,20.8,5.7
2024/5/3,20.7,9.6
2024/5/4,19.2,7.5
2024/5/5,22.0,11.1
2024/5/6,18.3,13.7
2024/5/7,17.9,4.7
2024/5/8,8.6,3.9
2024/5/9,15.5,4.8
2024/5/10,18.1,8.7
2024/5/11,21.7,13.5
2024/5/12,21.7,14.7
2024/5/13,16.6,9.0
2024/5/14,22.9,8.0
2024/5/15,23.2,11.9
2024/5/16,22.6,12.2
2024/5/17,19.1,13.2
2024/5/18,25.1,11.8
2024/5/19,21.4,13.6
2024/5/20,23.2,11.5
2024/5/21,14.5,8.7
2024/5/22,24.1,7.0
2024/5/23,23.9,13.9
2024/5/24,15.3,8.6
2024/5/25,15.3,8.0
2024/5/26,22.3,9.2
2024/5/27,19.2,12.3
2024/5/28,19.2,10.1
2024/5/29,12.9,9.7
2024/5/30,16.0,9.6
2024/5/31,17.5,11.1
2024/6/1,21.5,11.5
2024/6/2,20.4,10.5
2024/6/3,19.9,12.2
2024/6/4,22.3,11.9
2024/6/5,13.5,11.8
2024/6/6,15.1,10.7
2024/6/7,24.3,12.4
2024/6/8,27.0,14.8
2024/6/9,20.2,16.6
2024/6/10,26.1,16.3
2024/6/11,25.0,16.0
2024/6/12,28.4,15.8
2024/6/13,23.4,16.3
2024/6/14,22.8,15.5
2024/6/15,25.5,15.5
2024/6/16,22.4,18.6
2024/6/17,27.5,17.0
2024/6/18,25.0,15.9
2024/6/19,23.8,15.0
2024/6/20,24.1,16.0
2024/6/21,26.6,17.5
2024/6/22,26.7,15.9
2024/6/23,25.0,15.7
2024/6/24,22.4,18.8
2024/6/25,22.8,13.5
2024/6/26,18.8,12.9
2024/6/27,25.7,11.5
2024/6/28,29.1,18.9
2024/6/29,31.3,18.7
2024/6/30,30.9,18.6
2024/7/1,23.8,15.0
2024/7/2,24.2,13.9
2024/7/3,29.6,15.2
2024/7/4,28.9,18.2
2024/7/5,30.5,19.5
2024/7/6,24.9,20.7
2024/7/7,25.0,21.9
2024/7/8,22.7,18.9
2024/7/9,25.3,18.6
2024/7/10,27.2,19.0
2024/7/11,25.9,18.1
2024/7/12,27.6,19.5
2024/7/13,24.5,18.7
2024/7/14,29.5,18.5
2024/7/15,29.3,20.3
