É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/08/05 09:50:38

,éDñy,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ïΩãœãCâ∑(Åé)
,,,
2026/1/1,-5.5,-8.8,-7.7
2026/1/2,2.1,-7.5,-2.8
2026/1/3,0.3,-3.3,-1.2
2026/1/4,-1.2,-5.5,-3.3
2026/1/5,-4.6,-9.8,-6.5
2026/1/6,-3.2,-10.3,-6.2
2026/1/7,1.1,-9.4,-2.9
2026/1/8,0.0,-5.6,-3.4
2026/1/9,-1.3,-9.0,-4.3
2026/1/10,4.1,-3.6,0.5
2026/1/11,5.4,-2.8,1.9
2026/1/12,-2.1,-5.6,-3.9
2026/1/13,-1.1,-6.4,-3.8
2026/1/14,-6.4,-8.5,-7.5
2026/1/15,-1.3,-7.5,-4.7
2026/1/16,1.4,-6.8,-3.3
2026/1/17,0.9,-6.2,-2.8
2026/1/18,-0.1,-5.5,-3.1
2026/1/19,0.1,-7.0,-3.8
2026/1/20,-2.6,-7.8,-5.1
2026/1/21,-2.4,-5.9,-4.5
2026/1/22,-1.5,-6.8,-4.7
2026/1/23,-3.1,-9.3,-6.1
2026/1/24,-2.3,-10.9,-6.7
2026/1/25,-3.8,-9.3,-5.5
2026/1/26,-3.5,-12.3,-7.0
2026/1/27,-0.9,-6.6,-3.5
2026/1/28,-1.7,-6.8,-4.2
2026/1/29,-1.1,-6.9,-3.9
2026/1/30,0.0,-8.7,-3.4
2026/1/31,0.1,-3.6,-1.7
2026/2/1,-0.7,-3.9,-2.4
2026/2/2,-0.2,-5.9,-3.2
2026/2/3,1.5,-9.0,-3.7
2026/2/4,5.0,-2.3,1.2
2026/2/5,2.4,-3.1,-0.1
2026/2/6,1.3,-8.5,-4.1
2026/2/7,-3.1,-10.0,-6.8
2026/2/8,-1.3,-11.1,-6.7
2026/2/9,-1.7,-8.3,-4.7
2026/2/10,3.1,-5.6,-0.1
2026/2/11,1.9,-2.6,0.1
2026/2/12,-0.3,-4.8,-3.0
2026/2/13,1.2,-4.8,-1.7
2026/2/14,3.8,-4.3,0.7
2026/2/15,5.8,0.6,2.8
2026/2/16,0.8,-3.3,-1.9
2026/2/17,3.6,-4.9,0.0
2026/2/18,3.2,-1.0,1.5
2026/2/19,1.6,-3.2,-1.6
2026/2/20,2.0,-7.4,-1.5
2026/2/21,7.9,-0.1,4.3
2026/2/22,9.3,3.5,6.1
2026/2/23,7.3,0.2,4.2
2026/2/24,1.6,-3.0,-0.4
2026/2/25,3.4,-4.5,-0.3
2026/2/26,5.1,-3.6,1.2
2026/2/27,5.1,0.9,3.2
2026/2/28,6.8,2.1,3.6
2026/3/1,2.2,-0.5,0.4
2026/3/2,2.2,-0.1,0.8
2026/3/3,4.0,-1.4,1.1
2026/3/4,2.3,0.6,1.3
2026/3/5,5.7,0.3,2.8
2026/3/6,5.0,0.9,3.0
2026/3/7,4.2,1.2,2.6
2026/3/8,2.8,-0.7,0.9
2026/3/9,3.4,-3.0,0.1
2026/3/10,2.9,-2.3,0.1
2026/3/11,4.4,-3.5,0.7
2026/3/12,3.6,-1.5,1.6
2026/3/13,4.9,1.1,2.9
2026/3/14,5.2,2.6,3.7
2026/3/15,6.9,1.7,4.4
2026/3/16,6.8,0.9,3.9
2026/3/17,6.3,-0.6,2.8
2026/3/18,8.5,-1.4,4.0
2026/3/19,6.5,1.4,4.1
2026/3/20,8.5,0.9,3.9
2026/3/21,3.9,-0.8,1.7
2026/3/22,10.3,-0.8,5.5
2026/3/23,7.9,4.4,5.8
2026/3/24,8.4,2.3,5.2
2026/3/25,12.4,-0.4,6.0
2026/3/26,11.6,1.9,6.7
2026/3/27,8.8,4.3,5.9
2026/3/28,11.7,3.9,6.6
2026/3/29,10.5,3.1,6.4
2026/3/30,12.8,3.3,7.6
2026/3/31,12.2,5.6,8.1
2026/4/1,12.7,5.3,8.3
2026/4/2,10.5,5.1,7.5
2026/4/3,12.3,5.7,8.4
2026/4/4,14.9,6.1,10.4
2026/4/5,12.7,5.1,8.0
2026/4/6,13.8,3.8,7.7
2026/4/7,13.3,2.3,6.4
2026/4/8,13.4,2.0,8.4
2026/4/9,16.3,6.7,12.0
2026/4/10,15.2,9.6,11.8
2026/4/11,13.1,3.6,9.0
2026/4/12,10.3,3.5,6.8
2026/4/13,14.4,5.2,9.5
2026/4/14,13.5,4.7,8.8
2026/4/15,12.7,3.1,7.8
2026/4/16,16.5,5.1,10.0
2026/4/17,16.2,5.6,10.5
2026/4/18,20.0,7.9,13.3
2026/4/19,15.1,7.6,11.5
2026/4/20,15.7,6.6,10.6
2026/4/21,14.0,8.5,10.6
2026/4/22,13.1,5.6,9.0
2026/4/23,12.1,4.5,8.0
2026/4/24,9.5,2.8,6.2
2026/4/25,13.9,2.2,7.9
2026/4/26,19.8,6.7,11.8
2026/4/27,18.8,8.4,11.9
2026/4/28,10.0,6.2,7.8
2026/4/29,13.2,5.7,8.8
2026/4/30,18.8,5.2,12.2
2026/5/1,19.2,9.0,12.9
2026/5/2,13.6,8.0,10.8
2026/5/3,17.8,6.0,11.7
2026/5/4,13.1,3.4,9.2
2026/5/5,18.4,4.6,13.3
2026/5/6,23.8,13.0,18.4
2026/5/7,23.1,11.7,15.2
2026/5/8,15.2,11.2,12.6
2026/5/9,13.1,7.2,9.7
2026/5/10,23.4,7.3,16.3
2026/5/11,21.3,12.6,17.3
2026/5/12,24.9,12.5,18.3
2026/5/13,22.2,10.7,14.2
2026/5/14,18.7,8.5,12.6
2026/5/15,21.3,8.0,14.1
2026/5/16,23.2,11.2,15.4
2026/5/17,16.3,10.0,12.7
2026/5/18,21.0,11.7,14.2
2026/5/19,16.0,11.2,12.3
2026/5/20,18.2,11.4,14.1
2026/5/21,19.2,12.0,14.6
2026/5/22,21.7,9.0,13.8
2026/5/23,22.3,7.5,13.9
2026/5/24,14.7,9.7,11.9
2026/5/25,22.6,11.8,16.0
2026/5/26,25.3,12.7,17.6
2026/5/27,25.4,14.8,19.2
2026/5/28,23.4,16.3,19.4
2026/5/29,18.5,13.4,16.3
2026/5/30,20.7,13.3,16.4
2026/5/31,25.6,11.7,19.6
2026/6/1,30.6,13.5,23.0
2026/6/2,30.6,18.1,23.2
2026/6/3,29.3,17.3,22.2
2026/6/4,24.8,16.2,20.1
2026/6/5,25.1,12.5,17.9
2026/6/6,14.1,10.8,12.0
2026/6/7,18.9,11.6,14.8
2026/6/8,14.5,11.5,13.3
2026/6/9,15.3,11.2,12.6
2026/6/10,16.3,11.1,13.6
2026/6/11,22.3,10.5,16.7
2026/6/12,24.4,13.1,18.7
2026/6/13,25.0,14.2,19.4
2026/6/14,26.0,14.8,19.9
2026/6/15,22.0,17.1,18.9
2026/6/16,24.7,15.7,19.0
2026/6/17,27.1,14.9,20.2
2026/6/18,28.7,15.9,21.9
2026/6/19,25.6,18.5,21.3
2026/6/20,27.1,18.0,21.5
2026/6/21,25.5,17.7,20.8
2026/6/22,21.4,15.4,18.1
2026/6/23,16.8,13.1,14.9
2026/6/24,22.9,12.3,17.2
2026/6/25,26.3,14.6,20.3
2026/6/26,22.8,18.3,20.0
2026/6/27,22.8,17.2,19.0
2026/6/28,22.0,16.9,18.3
2026/6/29,21.3,16.2,17.8
2026/6/30,24.5,15.7,18.8
2026/7/1,24.2,15.0,19.6
2026/7/2,25.1,17.1,20.1
2026/7/3,25.8,16.0,20.2
2026/7/4,26.8,15.0,20.8
2026/7/5,25.7,16.6,20.7
2026/7/6,23.4,18.2,20.6
2026/7/7,26.3,18.3,21.5
2026/7/8,27.5,18.8,22.7
2026/7/9,25.5,20.2,22.3
2026/7/10,26.2,20.3,23.2
2026/7/11,26.0,21.9,23.8
2026/7/12,26.8,21.4,23.9
2026/7/13,27.3,21.7,23.6
2026/7/14,27.0,22.0,23.9
2026/7/15,31.2,22.5,25.9
2026/7/16,31.4,21.9,25.9
2026/7/17,31.1,22.1,26.2
2026/7/18,25.7,21.4,23.9
2026/7/19,25.9,20.6,22.8
2026/7/20,24.4,21.6,22.6
2026/7/21,30.7,21.8,25.0
2026/7/22,25.7,20.6,22.8
2026/7/23,28.9,19.2,24.2
2026/7/24,28.5,21.1,24.5
2026/7/25,25.4,18.8,21.1
2026/7/26,24.9,18.3,21.2
2026/7/27,26.9,18.1,22.0
2026/7/28,25.4,18.1,21.3
2026/7/29,25.0,20.2,21.7
2026/7/30,23.6,18.9,21.0
2026/7/31,24.9,19.0,21.6
2026/8/1,23.8,18.3,20.6
2026/8/2,27.9,16.9,22.2
2026/8/3,28.4,17.0,22.5
2026/8/4,27.8,18.5,22.4
