ダウンロードした時刻：2026/08/05 11:01:36

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2020/1/1,9.1,4.2,6.7
2020/1/2,10.4,4.0,7.9
2020/1/3,10.3,2.8,7.3
2020/1/4,12.1,4.9,8.8
2020/1/5,10.2,3.7,6.9
2020/1/6,12.2,4.1,8.8
2020/1/7,8.5,5.1,7.0
2020/1/8,8.5,4.6,6.2
2020/1/9,15.2,5.1,11.8
2020/1/10,11.4,7.1,9.2
2020/1/11,9.9,7.0,8.2
2020/1/12,10.0,4.0,8.0
2020/1/13,11.9,5.3,9.3
2020/1/14,12.6,5.6,9.4
2020/1/15,10.6,6.8,8.1
2020/1/16,9.7,5.8,8.1
2020/1/17,10.0,6.0,8.2
2020/1/18,7.9,2.5,4.6
2020/1/19,10.1,5.1,7.6
2020/1/20,11.8,3.2,8.3
2020/1/21,11.4,4.8,8.1
2020/1/22,7.5,3.9,6.2
2020/1/23,9.8,5.7,7.3
2020/1/24,13.1,8.7,10.8
2020/1/25,9.9,7.1,8.6
2020/1/26,8.4,3.3,6.0
2020/1/27,7.5,4.0,6.5
2020/1/28,8.5,2.4,5.6
2020/1/29,18.2,8.0,13.2
2020/1/30,17.2,8.0,13.0
2020/1/31,12.0,6.3,8.9
2020/2/1,12.6,5.5,8.8
2020/2/2,12.6,6.0,9.4
2020/2/3,14.6,6.7,10.2
2020/2/4,10.6,6.4,8.9
2020/2/5,15.3,4.0,8.5
2020/2/6,6.6,1.1,3.7
2020/2/7,6.9,-0.1,3.2
2020/2/8,11.7,2.2,7.0
2020/2/9,7.6,2.2,4.6
2020/2/10,8.3,1.6,5.3
2020/2/11,10.8,4.3,7.5
2020/2/12,16.6,3.5,9.9
2020/2/13,16.3,7.4,12.7
2020/2/14,15.2,8.2,12.3
2020/2/15,15.3,10.1,12.7
2020/2/16,12.3,8.7,10.1
2020/2/17,17.2,8.5,11.9
2020/2/18,11.2,4.4,8.1
2020/2/19,11.4,4.6,8.6
2020/2/20,12.0,5.5,9.6
2020/2/21,13.7,7.8,10.2
2020/2/22,18.5,7.5,13.5
2020/2/23,15.3,7.8,11.1
2020/2/24,15.4,5.4,10.5
2020/2/25,12.5,7.1,10.6
2020/2/26,9.8,8.3,8.9
2020/2/27,11.9,4.5,7.8
2020/2/28,10.4,3.7,7.5
2020/2/29,12.0,6.7,9.7
2020/3/1,16.0,9.1,12.2
2020/3/2,11.5,6.6,8.3
2020/3/3,16.7,6.4,12.1
2020/3/4,11.5,8.8,9.7
2020/3/5,13.5,7.3,9.9
2020/3/6,13.9,6.8,10.0
2020/3/7,10.5,6.6,8.1
2020/3/8,10.1,6.7,8.2
2020/3/9,17.6,9.3,13.1
2020/3/10,18.9,12.6,14.7
2020/3/11,19.3,10.2,16.1
2020/3/12,15.5,8.1,11.5
2020/3/13,19.3,8.3,13.5
2020/3/14,13.5,2.7,6.7
2020/3/15,11.9,3.8,8.0
2020/3/16,14.2,3.9,7.8
2020/3/17,12.4,3.9,8.5
2020/3/18,17.4,6.2,12.3
2020/3/19,21.2,8.1,14.5
2020/3/20,18.2,11.3,15.4
2020/3/21,21.2,8.9,14.8
2020/3/22,22.4,10.8,16.9
2020/3/23,14.2,8.7,10.9
2020/3/24,12.1,6.1,9.0
2020/3/25,14.9,5.2,10.4
2020/3/26,18.8,8.7,13.3
2020/3/27,21.8,10.3,16.4
2020/3/28,21.6,8.4,15.5
2020/3/29,8.6,2.3,5.3
2020/3/30,10.6,5.3,8.4
2020/3/31,12.8,9.3,10.7
2020/4/1,14.7,10.2,12.3
2020/4/2,19.5,10.7,14.6
2020/4/3,18.0,9.2,13.5
2020/4/4,21.4,9.8,16.0
2020/4/5,16.9,7.7,11.1
2020/4/6,17.4,7.6,12.6
2020/4/7,17.2,9.8,12.7
2020/4/8,19.4,10.3,15.1
2020/4/9,17.7,8.9,13.5
2020/4/10,16.3,8.0,11.5
2020/4/11,16.3,8.2,11.8
2020/4/12,14.0,8.6,11.3
2020/4/13,11.2,6.5,9.3
2020/4/14,16.5,7.0,11.9
2020/4/15,19.5,7.0,14.1
2020/4/16,14.7,9.4,12.1
2020/4/17,15.7,9.1,12.4
2020/4/18,17.6,12.3,14.2
2020/4/19,20.9,10.8,14.9
2020/4/20,12.1,9.3,10.4
2020/4/21,18.8,10.5,15.0
2020/4/22,18.0,10.2,13.4
2020/4/23,16.2,7.7,12.4
2020/4/24,17.6,8.4,12.8
2020/4/25,17.7,7.8,13.6
2020/4/26,23.4,15.5,19.1
2020/4/27,17.5,11.2,13.4
2020/4/28,19.1,10.7,13.6
2020/4/29,20.4,10.5,15.9
2020/4/30,22.8,14.1,18.2
2020/5/1,24.1,17.0,20.2
2020/5/2,25.1,15.9,20.3
2020/5/3,24.6,17.2,20.7
2020/5/4,19.7,17.4,18.8
2020/5/5,25.6,17.2,20.0
2020/5/6,17.8,15.5,16.5
2020/5/7,22.1,13.9,17.2
2020/5/8,21.8,11.7,16.8
2020/5/9,21.6,16.7,19.1
2020/5/10,24.5,18.4,21.0
2020/5/11,24.4,20.3,22.0
2020/5/12,25.6,18.9,21.2
2020/5/13,28.3,19.0,22.6
2020/5/14,24.5,17.7,20.9
